"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
27.9,0.3,63.1,"BS10 6ND","BS10 6","BRISTOL","CITY OF BRISTOL"
64.3,5.2,200,"BS10 6NE","BS10 6","BRISTOL","CITY OF BRISTOL"
62.2,8.2,200,"BS10 6NG","BS10 6","BRISTOL","CITY OF BRISTOL"
64.7,10,200,"BS10 6NL","BS10 6","BRISTOL","CITY OF BRISTOL"
63,25.7,106.3,"BS10 6NN","BS10 6","BRISTOL","CITY OF BRISTOL"
72.2,4,300,"BS10 6NQ","BS10 6","BRISTOL","CITY OF BRISTOL"
78.2,8.5,200,"BS10 6NT","BS10 6","BRISTOL","CITY OF BRISTOL"
75.3,3,200,"BS10 6NU","BS10 6","BRISTOL","CITY OF BRISTOL"
70.9,3,200,"BS10 6NY","BS10 6","BRISTOL","CITY OF BRISTOL"
59.7,5.1,200,"BS10 6NZ","BS10 6","BRISTOL","CITY OF BRISTOL"
82.9,6.7,200,"BS10 6PA","BS10 6","BRISTOL","CITY OF BRISTOL"
91.6,4.6,200,"BS10 6PB","BS10 6","BRISTOL","CITY OF BRISTOL"
47.9,7.2,100,"BS10 6PD","BS10 6","BRISTOL","CITY OF BRISTOL"
58.3,6.9,150,"BS10 6PE","BS10 6","BRISTOL","CITY OF BRISTOL"
67.6,3.6,200,"BS10 6PF","BS10 6","BRISTOL","CITY OF BRISTOL"
74.4,9.1,200,"BS10 6PG","BS10 6","BRISTOL","CITY OF BRISTOL"
58,6,200,"BS10 6PH","BS10 6","BRISTOL","CITY OF BRISTOL"
94.9,7.2,200,"BS10 6PJ","BS10 6","BRISTOL","CITY OF BRISTOL"
68.7,1.1,200,"BS10 6PL","BS10 6","BRISTOL","CITY OF BRISTOL"
73.3,10.3,200,"BS10 6PN","BS10 6","BRISTOL","CITY OF BRISTOL"
57.5,2,200,"BS10 6PP","BS10 6","BRISTOL","CITY OF BRISTOL"
57.1,4.5,200,"BS10 6PQ","BS10 6","BRISTOL","CITY OF BRISTOL"
82.3,8.8,200,"BS10 6PR","BS10 6","BRISTOL","CITY OF BRISTOL"
84.7,10,200,"BS10 6PS","BS10 6","BRISTOL","CITY OF BRISTOL"
85.3,9.2,200,"BS10 6PT","BS10 6","BRISTOL","CITY OF BRISTOL"
64.5,6.7,200,"BS10 6PX","BS10 6","BRISTOL","CITY OF BRISTOL"
65.7,0.9,200,"BS10 6PY","BS10 6","BRISTOL","CITY OF BRISTOL"
50.1,7.7,300,"BS10 6PZ","BS10 6","BRISTOL","CITY OF BRISTOL"
80.7,13.5,200,"BS10 6QB","BS10 6","BRISTOL","CITY OF BRISTOL"
81,10.6,200,"BS10 6QD","BS10 6","BRISTOL","CITY OF BRISTOL"
80.5,5.4,200,"BS10 6QE","BS10 6","BRISTOL","CITY OF BRISTOL"
64.3,10.7,200,"BS10 6QF","BS10 6","BRISTOL","CITY OF BRISTOL"
59.6,7.1,200,"BS10 6QG","BS10 6","BRISTOL","CITY OF BRISTOL"
73.6,4.3,200,"BS10 6QH","BS10 6","BRISTOL","CITY OF BRISTOL"
58.8,4,200,"BS10 6QJ","BS10 6","BRISTOL","CITY OF BRISTOL"
88,6.1,200,"BS10 6QL","BS10 6","BRISTOL","CITY OF BRISTOL"
85.2,5.8,300,"BS10 6QN","BS10 6","BRISTOL","CITY OF BRISTOL"
81.9,8.8,200,"BS10 6QP","BS10 6","BRISTOL","CITY OF BRISTOL"
74.7,0.8,200,"BS10 6QR","BS10 6","BRISTOL","CITY OF BRISTOL"
72.9,2.3,150,"BS10 6QS","BS10 6","BRISTOL","CITY OF BRISTOL"
87.5,7.2,200,"BS10 6QU","BS10 6","BRISTOL","CITY OF BRISTOL"
67.5,8.9,200,"BS10 6QW","BS10 6","BRISTOL","CITY OF BRISTOL"
101.5,4.3,200,"BS10 6QX","BS10 6","BRISTOL","CITY OF BRISTOL"
86,9.3,200,"BS10 6QY","BS10 6","BRISTOL","CITY OF BRISTOL"
61.4,1.2,106.3,"BS10 6QZ","BS10 6","BRISTOL","CITY OF BRISTOL"
65.6,2.6,200,"BS10 6RA","BS10 6","BRISTOL","CITY OF BRISTOL"
92.2,3.1,200,"BS10 6RE","BS10 6","BRISTOL","CITY OF BRISTOL"
82.7,13.3,200,"BS10 6RF","BS10 6","BRISTOL","CITY OF BRISTOL"
90.1,7.9,200,"BS10 6RG","BS10 6","BRISTOL","CITY OF BRISTOL"
64.1,5,150,"BS10 6RH","BS10 6","BRISTOL","CITY OF BRISTOL"
109.4,11.6,200,"BS10 6RJ","BS10 6","BRISTOL","CITY OF BRISTOL"
53.3,0.7,200,"BS10 6RL","BS10 6","BRISTOL","CITY OF BRISTOL"
82.1,14,200,"BS10 6RP","BS10 6","BRISTOL","CITY OF BRISTOL"
39.2,2,106.3,"BS10 6RQ","BS10 6","BRISTOL","CITY OF BRISTOL"
54,8.4,106.3,"BS10 6RR","BS10 6","BRISTOL","CITY OF BRISTOL"
49,4,150,"BS10 6RS","BS10 6","BRISTOL","CITY OF BRISTOL"
63.6,8.9,200,"BS10 6RT","BS10 6","BRISTOL","CITY OF BRISTOL"
50,2,150,"BS10 6RU","BS10 6","BRISTOL","CITY OF BRISTOL"
74.7,10.2,200,"BS10 6RW","BS10 6","BRISTOL","CITY OF BRISTOL"
67.9,6.9,150,"BS10 6RX","BS10 6","BRISTOL","CITY OF BRISTOL"
50.6,4.5,106.3,"BS10 6RY","BS10 6","BRISTOL","CITY OF BRISTOL"
76.9,2.3,200,"BS10 6SB","BS10 6","BRISTOL","CITY OF BRISTOL"
